Series Name,country,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Population,Canada,27691138,30685730,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38007166,38226498,38929902
Population,Mexico,81720428,97873442,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138,127504125
Population,United States,249623000,282162411,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331511512,332031554,333287557
Population growth (annual %),Canada,1.507660673,0.931281553,1.056591259,1.005337579,0.746339478,1.132348655,1.199520711,1.412455869,1.436136823,1.073795827,0.575421916,1.823370422
Population growth (annual %),Mexico,1.83597705,1.584550787,1.317160793,1.241466716,1.16700885,1.133234288,1.080420738,0.951668644,0.86026509,0.727243816,0.559420832,0.628607803
Population growth (annual %),United States,1.12965052,1.112768997,0.692860277,0.73336152,0.736217309,0.724676067,0.632643995,0.526435396,0.455381286,0.9643479,0.156747055,0.377564531
Surface area (sq. km),Canada,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,15634410,..
Surface area (sq. km),Mexico,1964380,1964380,1964380,1964375,1964375,1964375,1964375,1964375,1964375,1964375,1964375,..
Surface area (sq. km),United States,9629090,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,..
Population density (people per sq. km of land area),Canada,3.088601866,3.42261134,3.913066959,3.952604904,3.982215114,4.027563942,4.07616632,4.134148896,4.193949311,4.23922642,4.349505388,..
Population density (people per sq. km of land area),Mexico,42.03833843,50.34771573,60.33626688,61.08999048,61.80709226,62.51149515,63.190544,63.79477919,64.34595077,64.81560843,65.17921654,..
Population density (people per sq. km of land area),United States,27.25451361,30.79730133,34.55181319,34.8061343,35.06332868,35.31834714,35.54249482,35.73009646,35.89317567,36.24098511,36.29783633,..
Poverty headcount ratio at national poverty lines (% of population),Canada,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Mexico,..,..,..,..,..,43.6,..,41.9,..,43.9,..,36.3
Poverty headcount ratio at national poverty lines (% of population),United States,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Canada,1.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,..,..,..
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Mexico,..,8.9,..,3.7,..,3.2,..,2.6,..,3.1,..,..
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),United States,0.5,0.7,1,1.2,1.2,1,1.2,1,1,0.2,0.2,..
"GNI, Atlas method (current US$)",Canada,5.72E+11,6.98E+11,1.85E+12,1.85E+12,1.70E+12,1.58E+12,1.57E+12,1.67E+12,1.75E+12,1.67E+12,1.86E+12,2.06E+12
"GNI, Atlas method (current US$)",Mexico,2.34E+11,6.14E+11,1.22E+12,1.26E+12,1.24E+12,1.16E+12,1.11E+12,1.16E+12,1.21E+12,1.10E+12,1.21E+12,1.33E+12
"GNI, Atlas method (current US$)",United States,6.01E+12,1.01E+13,1.71E+13,1.78E+13,1.82E+13,1.85E+13,1.93E+13,2.07E+13,2.17E+13,2.14E+13,2.35E+13,2.55E+13
"GNI per capita, Atlas method (current US$)",Canada,20640,22750,52800,52200,47590,43890,42900,45080,46600,43810,48720,52960
"GNI per capita, Atlas method (current US$)",Mexico,2860,6280,10400,10640,10310,9530,9060,9350,9660,8750,9590,10410
"GNI per capita, Atlas method (current US$)",United States,24060,35960,53990,55800,56620,57140,59220,63460,66130,64650,70900,76370
"GNI, PPP (current international $)",Canada,5.40E+11,8.77E+11,1.53E+12,1.60E+12,1.57E+12,1.66E+12,1.74E+12,1.82E+12,1.85E+12,1.78E+12,2.02E+12,2.25E+12
"GNI, PPP (current international $)",Mexico,6.53E+11,1.07E+12,2.00E+12,2.12E+12,2.17E+12,2.32E+12,2.40E+12,2.47E+12,2.46E+12,2.26E+12,2.42E+12,2.68E+12
"GNI, PPP (current international $)",United States,5.90E+12,1.04E+13,1.72E+13,1.80E+13,1.87E+13,1.90E+13,1.99E+13,2.09E+13,2.18E+13,2.15E+13,2.36E+13,2.58E+13
"GNI per capita, PPP (current international $)",Canada,19500,28590,43620,45010,43990,45900,47700,49140,49240,46860,52720,57820
"GNI per capita, PPP (current international $)",Mexico,7990,10970,17090,17850,18080,19090,19510,19900,19630,17920,19060,21060
"GNI per capita, PPP (current international $)",United States,23640,36800,54380,56670,58180,58870,61160,64060,66290,64770,71130,77530
Income share held by lowest 20%,Canada,7.3,7.1,6.7,7.1,6.9,7.3,7.1,7.4,7.6,..,..,..
Income share held by lowest 20%,Mexico,..,3.7,..,4.7,..,4.7,..,4.9,..,5,..,..
Income share held by lowest 20%,United States,5.6,5.5,5.3,5.2,5.3,5.2,5.2,5.2,5.1,5.6,6,..
"Life expectancy at birth, total (years)",Canada,77.43658537,79.16682927,81.74487805,81.78439024,81.81560976,81.92487805,81.83292683,81.84390244,82.22878049,81.6704878,82.59660976,..
"Life expectancy at birth, total (years)",Mexico,69.971,73.569,74.739,74.797,74.682,74.412,74.138,74.015,74.202,70.133,70.213,..
"Life expectancy at birth, total (years)",United States,75.21463415,76.63658537,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.63902439,78.78780488,76.9804878,76.32926829,..
"Fertility rate, total (births per woman)",Canada,1.83,1.51,1.61,1.61,1.6,1.59,1.55,1.51,1.47,1.41,1.43,..
"Fertility rate, total (births per woman)",Mexico,3.45,2.716,2.269,2.211,2.137,2.086,2.041,1.996,1.916,1.905,1.822,..
"Fertility rate, total (births per woman)",United States,2.081,2.056,1.8575,1.8625,1.8435,1.8205,1.7655,1.7295,1.706,1.6415,1.664,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",Canada,27.61,17.452,11.665,10.859,9.685,8.607,8.054,7.094,6.888,6.985,6.978,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",Mexico,82.102,73.673,76.355,72.893,67.585,64.845,63.587,61.293,58.391,57.865,54.369,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",United States,60.633,46.734,26.447,24.036,21.899,19.867,18.423,17.06,16.414,15.83,15.966,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",Canada,..,..,..,..,..,..,..,..,..,..,..,..
